COUNTY,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,ALR_VALB,ALR_VALP,ALR_VALA,ALR_NPCTL
Pinellas,958822,145298091262.0,2218355.0,871.24965096,410018954.95932335,99.20458160992682,Relatively High,91.04477611940298,99.13339523367378,Relatively High,91.04477611940298,325849124.2722968,273182801.11197156,4.538312388683023,52644423.70872055,21899.451604564736,0.001880154,4.73322e-06,0.009871933,81.92510058805325
Polk,721918,100744534946.0,341471673.0,2030.70801999,230155586.7537174,98.02736239261853,Relatively High,80.59701492537313,97.80253791395853,Relatively High,77.61194029850746,171044452.27930105,139913667.98591435,2.19367080815446,25446581.374591816,5684202.918794512,0.001388797,3.03867e-06,0.016646192,75.11606313834726
Putnam,73208,11258350309.0,52834957.0,835.26898455,45830231.71865784,90.16862869869551,Relatively Moderate,44.776119402985074,86.96997833488084,Relatively Moderate,43.28358208955223,29267456.956614338,25132056.60087667,0.273415322,3171617.7309424337,963782.6247953271,0.002232304,3.73477e-06,0.018241382,86.47477561126587
St. Johns,273175,51350848031.0,70401532.0,829.82830437,80458586.93018714,94.1457206490614,Relatively Moderate,52.23880597014925,95.17177344475397,Relatively Moderate,58.2089552238806,87513475.92189652,72846915.64186864,1.229674077267655,14264219.296304803,402340.98372291913,0.001418612,4.50142e-06,0.005714946,76.91117301145157
St. Lucie,328876,44310512534.0,160158188.0,694.7851014,251282118.78852144,98.31371301304486,Relatively High,82.08955223880598,98.29774063757353,Relatively High,82.08955223880598,202997709.71146977,182442255.3846317,1.437556154952795,16675651.397452332,3879802.9293855466,0.004117358,4.37112e-06,0.024224818,93.16001238006808
Santa Rosa,187714,25410059938.0,44196059.0,1234.50652143,108946500.72679184,95.51384027998729,Relatively High,59.70149253731343,95.54317548746516,Relatively High,62.68656716417911,98660178.08109036,81379547.54503798,1.420584020556751,16478774.638458297,801855.8975940349,0.003202651,7.56781e-06,0.018143154,91.21015165583411
Sarasota,433908,80642074094.0,26482619.0,985.40036985,268538670.8573988,98.40916321985365,Relatively High,83.5820895522388,98.60724233983287,Relatively High,86.56716417910447,253695262.1549134,235870596.15882072,1.498594245733167,17383693.250504557,440972.74558824766,0.002924907,3.45371e-06,0.016651402,91.61250386877128
Seminole,470586,72539229027.0,24483948.0,348.8253912,110899475.2903358,95.64110722239899,Relatively High,62.68656716417911,95.7288765088208,Relatively High,65.67164179104478,102684584.98158713,78784860.7312758,2.032000423699066,23571204.914909184,328519.33540227776,0.0010861,4.31802e-06,0.013417744,65.89291241101826
Sumter,129698,20821622783.0,62479788.0,585.6790446,39850711.7086315,88.92777601018136,Relatively Moderate,43.28358208955223,90.37449705973383,Relatively Moderate,49.25373134328358,40375717.51700336,34657493.550347,0.435140895,5047634.377939103,670589.5887172114,0.001664495,3.35503e-06,0.010732904,81.24419684308263
Suwannee,43427,6017094840.0,296998501.0,699.2448375900001,22844481.365256306,82.15081132675788,Relatively Low,28.35820895522388,78.11822965026307,Relatively Low,28.35820895522388,16341934.755486311,12561770.84504337,0.109768907,1273319.3162680373,2506844.5941748875,0.00208768,2.52766e-06,0.008440597,84.06066233364284
Taylor,21690,3630805713.0,13519640.0,1527.16241145,14506558.568673074,74.00572701240853,Relatively Low,20.8955223880597,70.22593624264934,Relatively Low,22.388059701492537,11260278.40855899,10014273.754400624,0.093511928,1084738.3651142633,161266.28904411165,0.002758141,4.31129e-06,0.011928298,89.7554936552151
Union,16088,1669580921.0,8834650.0,252.27304596,5116478.272611937,43.07986000636335,Very Low,2.985074626865671,38.40916125038687,Very Low,2.985074626865671,4009725.9501922345,3392492.4985344014,0.047084229,546177.0534773263,71056.39818050928,0.002031943,2.92667e-06,0.008042922,81.42989786443825
Volusia,551829,82470215507.0,225255600.0,1446.89847198,191388687.00144407,97.51829462297168,Relatively High,76.11940298507463,97.36923553079542,Relatively High,74.6268656716418,161343883.36548707,130598208.49230263,2.335160587881788,27087862.819428623,3657812.05375544,0.00158358,4.23167e-06,0.016238496,78.58248220365213
Wakulla,33756,4061992823.0,2740119.0,926.14349958,11432570.413117496,68.59688195991092,Relatively Low,14.925373134328357,70.1021355617456,Relatively Low,20.8955223880597,11122499.27961004,8898561.439544242,0.188546791,2187142.7789155873,36795.06115020992,0.002190689,5.58558e-06,0.013428271,82.97740637573506
Walton,75211,19207317621.0,35111289.0,1423.67752917,92368539.77492198,94.68660515431117,Relatively Moderate,55.223880597014926,95.23367378520582,Relatively Moderate,59.70149253731343,89351361.65825176,82427751.88856964,0.558463701,6478178.934591879,445430.8350902878,0.004291476,7.42529e-06,0.012686257,96.03837821108016
Washington,25288,3660355553.0,10265580.0,622.1725185,34545436.28624509,87.71874005727013,Relatively Moderate,38.80597014925373,84.30826369545032,Relatively Moderate,37.3134328358209,23626452.324606016,20808984.63075309,0.22890367,2655282.5706767007,162185.12317621819,0.005684963,9.05187e-06,0.015798924,98.42154131847725
