COUNTY,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,ALR_VALB,ALR_VALP,ALR_VALA,ALR_NPCTL
Skagit,129360,26499810042.0,329305832.0,1936.388532,40390635.99934246,89.11867642379892,Relatively Moderate,71.7948717948718,88.73413803775922,Relatively Moderate,71.7948717948718,34384252.95435389,23099843.404629566,0.964512274,11188342.381458648,96067.16826567735,0.000871698,7.45603e-06,0.000291726,64.50015475085112
Skamania,12011,5097494384.0,6458002.0,1703.606112,11952787.446955863,69.99681832643971,Relatively Low,41.02564102564102,81.95605075827916,Relatively Low,53.84615384615385,20922908.853779383,5094454.811585432,1.364378203152455,15826787.156568484,1666.8856254755615,0.000999404,0.000113594,0.000258112,97.18353450943981
Snohomish,827611,146471567843.0,180734966.0,2217.91864515,220110752.80451775,97.9000954502068,Relatively High,94.87179487179486,98.17393995666976,Relatively High,94.87179487179486,197515502.6197494,142120982.097254,4.769568431370061,55326993.80389273,67526.71860272797,0.000970297,5.76306e-06,0.000373623,63.75735066542865
Spokane,538806,87529135034.0,134270625.0,1798.96331472,21952032.98202607,81.32357620108178,Relatively Low,51.28205128205128,81.67749922624574,Relatively Low,51.28205128205128,20445972.587731425,10544118.616937952,0.841945513,9766567.950673511,135286.0201199354,0.000120464,1.56261e-06,0.001007562,1.547508511296812
Stevens,46368,8332565829.0,34625793.0,2565.65393019,5193134.135999508,43.55711104040726,Very Low,23.076923076923077,44.44444444444444,Very Low,20.51282051282051,4655053.154036677,3444412.2091524345,0.100438329,1165084.6118937433,45556.33299049966,0.000413368,2.16611e-06,0.001315676,24.667285670071184
Thurston,294398,57442987747.0,201964968.0,781.90499517,128926569.05510063,96.21380846325167,Relatively High,92.3076923076923,96.19312906220983,Relatively High,92.3076923076923,113334167.29232922,80080823.72783583,2.864794582892457,33231617.1615525,21726.4029408968,0.001394092,9.73103e-06,0.000107575,82.79170535437945
Wahkiakum,4415,1134023454.0,2986578.0,289.59262644,5555974.300849847,45.7206490614063,Very Low,25.64102564102564,46.14670380687094,Very Low,25.64102564102564,4893019.907332283,3827882.0695712185,0.091690869,1063614.0813850476,1523.7563760174855,0.003375488,2.0768e-05,0.000510201,98.35964097802538
Walla Walla,62555,11237881837.0,566283717.0,1312.07803194,12358865.84767386,70.76041998090996,Relatively Low,43.58974358974359,65.70721138966265,Relatively Low,41.02564102564102,9280683.33986734,3987750.2253494374,0.402542868,4669497.266935645,623435.8475822576,0.000354849,6.43502e-06,0.001100925,33.6428350355927
Whatcom,226681,45685362845.0,427670453.0,2530.16210772,48889654.28557409,90.93223035316576,Relatively Moderate,74.35897435897436,90.62209842154132,Relatively Moderate,74.35897435897436,42340449.45396321,31760314.30672773,0.898809031,10426184.762403231,153950.38483226762,0.000695197,3.96508e-06,0.000359974,48.46796657381616
Whitman,47922,9223150866.0,319917993.0,2199.87689571,3018155.769924586,23.83073496659243,Very Low,12.82051282051282,25.502940266171464,Very Low,12.82051282051282,2703513.617415765,1560218.5149828435,0.086309538,1001190.6419996484,142104.46043327087,0.000169163,1.80104e-06,0.00044419,3.404518724852987
Yakima,256420,47678313869.0,2280220159.0,4353.93002889,70249712.899229,93.22303531657653,Relatively Moderate,82.05128205128204,91.64345403899722,Relatively Moderate,82.05128205128204,47445441.34548799,32915551.595016822,0.969531326,11246563.384150626,3283326.366320539,0.000690367,3.78103e-06,0.001439916,45.46580006190034
